Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-2128.803	-2282.975	154.1721	1.173643	0.3117187	0.576053	0.423947	3.495699
6	-2138.59	-2290.736	152.1461	1.05954	0.4640348	0.526465	0.473535	4.546285
12	-2137.507	-2288.654	151.1467	1.047296	0.4057184	0.700738	0.299262	5.169448
18	-2154.071	-2306.473	152.4024	1.055735	0.3153346	0.519818	0.480182	4.5693
24	-2140.58	-2294.727	154.1466	1.199923	0.4234566	0.651115	0.348885	3.361271
30	-2145.741	-2299.181	153.4399	1.128137	0.490194	0.764193	0.235807	3.745918
36	-2138.588	-2293.736	155.1481	1.350615	0.4412224	0.574544	0.425456	2.650094
42	-2155.273	-2310.228	154.9552	1.350615	0.5214862	0.528036	0.471964	2.684831
48	-2146.697	-2301.208	154.5116	1.214334	0.3598682	0.528036	0.471964	3.210914
54	-2145.331	-2298.727	153.3964	1.045203	0.5501417	0.528036	0.471964	3.763194
60	-2143.34	-2297.178	153.8388	1.061601	0.2923699	0.676898	0.323102	3.779896
66	-2149.867	-2301.506	151.6389	0.7706511	0.2923699	0.689469	0.310531	5.183151
72	-2145.243	-2298.293	153.0501	1.002567	0.2686324	0.607453	0.392547	4.296684
78	-2144.442	-2296.161	151.7181	0.8538514	0.3359016	0.607453	0.392547	5.038544
84	-2140.295	-2293.212	152.9162	0.8484541	0.2786213	0.594253	0.405747	4.445355
90	-2137.611	-2289.934	152.3226	0.87839	0.4002371	0.52756	0.47244	4.614402
96	-2146.131	-2300.63	154.4984	1.196087	0.3323461	0.643452	0.356548	3.264057
102	-2148.468	-2302.345	153.8767	1.188807	0.365637	0.666545	0.333455	3.591158
108	-2138.953	-2294.231	155.2775	1.477996	0.3906627	0.618658	0.381342	2.549881
114	-2132.727	-2287.982	155.2542	1.380592	0.4556772	0.71926	0.28074	2.549881
120	-2122.228	-2278.205	155.9768	1.316757	0.4335924	0.64315	0.35685	2.15652
126	-2134.574	-2289.885	155.3116	1.298547	0.3099619	0.553905	0.446095	2.744511
132	-2131.929	-2286.522	154.5931	1.113915	0.3216159	0.66564	0.33436	3.27065
138	-2134.592	-2287.162	152.5695	0.9795877	0.286265	0.657889	0.342111	4.556201
144	-2136.037	-2288.481	152.4441	1.08733	0.2937083	0.657889	0.342111	4.556201
150	-2136.795	-2290.468	153.6732	1.068576	0.3611326	0.627365	0.372635	3.783778
156	-2130.838	-2284.061	153.2231	1.034148	0.3654821	0.65997	0.34003	4.056356
162	-2131.134	-2284.343	153.2093	1.14583	0.3917312	0.646317	0.353683	3.97048
168	-2134.36	-2286.719	152.3594	1.056303	0.3331056	0.595826	0.404174	4.571025
174	-2136.065	-2289.636	153.5708	1.056303	0.2632417	0.572099	0.427901	3.97768
180	-2129.185	-2283.387	154.2017	1.280219	0.2812391	0.64573	0.35427	3.457958
186	-2133.406	-2287.507	154.1005	1.214699	0.316903	0.652962	0.347038	3.50668
192	-2134.921	-2289.17	154.2497	1.214699	0.5408758	0.652962	0.347038	3.173834
198	-2126.646	-2282.113	155.4674	1.385381	0.3657757	0.635165	0.364835	2.520337
204	-2119.896	-2275.524	155.628	1.423913	0.3878777	0.557224	0.442776	2.367271
210	-2127.482	-2281.875	154.3926	1.198888	0.472371	0.666804	0.333196	3.165087
216	-2146.414	-2301.573	155.1594	1.31813	0.5231201	0.666804	0.333196	2.57723
222	-2124.686	-2278.167	153.481	1.094735	0.3450827	0.613584	0.386416	3.898541
228	-2147.38	-2301.353	153.973	1.132553	0.3392306	0.568537	0.431463	3.600062
234	-2134.706	-2288.92	154.2147	1.033078	0.3301347	0.542308	0.457692	3.528865
240	-2134.327	-2288.176	153.8483	1.013651	0.4456654	0.512185	0.487815	3.620509
246	-2125.781	-2279.766	153.9846	1.153704	0.3085769	0.595377	0.404623	3.620509
252	-2129.556	-2284.516	154.9598	1.210361	0.4055027	0.691904	0.308096	2.891022
258	-2134.896	-2288.952	154.0553	1.210361	0.4940373	0.624664	0.375336	3.335898
264	-2135.251	-2290.748	155.4972	1.374847	0.4230625	0.675394	0.324606	2.438379
270	-2135.983	-2291.61	155.6276	1.463653	0.3529141	0.666164	0.333836	2.387294
276	-2149.257	-2304.007	154.7491	1.410669	0.3091306	0.687005	0.312995	3.018163
